filename|dialogue|dialogue_jp|prefix|prefix_jp|scenario|scenario_jp
Cv-30105_extra.mp3|碧蓝航线！|None|台词|デフォルトボイス一覧|登录欢迎|None
绫波unlock.mp3|绫波……的说，他们喜欢叫我“鬼神”就是了。请多指教|綾波……です。「鬼神」とよく言われるのです。よろしくです|台词|デフォルトボイス一覧|获得|入手時
绫波login.mp3|指挥官，吃了吗？我这里还有点心|指揮官は食べました？おやつ、です|台词|デフォルトボイス一覧|登录|ログイン
绫波detail.mp3|这次有好好的检查了通讯设备，不会再给您添麻烦了……|通信設備、今度はちゃんと整備したのです。迷惑をかけないのです……|台词|デフォルトボイス一覧|查看详情|詳細確認
绫波main1.mp3|绫波的耳朵……比较可爱吗？不太懂……指挥官开心就好|指揮官？…いいえ、大丈夫です。まだいるか確認するだけです|台词|デフォルトボイス一覧|主界面|メイン3
绫波main2.mp3|最近时常会做和大家走散的噩梦，一定是我做的还不够好……|指揮官？…いいえ、大丈夫です。まだいるか確認するだけです|台词|デフォルトボイス一覧|主界面|メイン3
绫波main3.mp3|指挥官？…不，没事。我只是确认一下你是不是还在|指揮官？…いいえ、大丈夫です。まだいるか確認するだけです|台词|デフォルトボイス一覧|主界面|メイン3
绫波touch1.mp3|唔——有点痒……|うぅーーちょっとくすぐったいです……|台词|デフォルトボイス一覧|触摸|タッチ1
绫波touch_head.mp3|虽然不太明白这样有什么意义……但是有点高兴（蹭蹭）|よくわからないですけど……ちょっと嬉しい、です|台词|デフォルトボイス一覧|摸头|タッチ3
绫波touch2.mp3|指挥官，请不要……乱碰，感觉……有点奇怪|指揮官、あまり触らない……です。変な感じです…|台词|デフォルトボイス一覧|特殊触摸|タッチ2
绫波mission.mp3|指挥官的新任务下达了|指揮官、新しい任務が通達されたのです|台词|デフォルトボイス一覧|任务提醒|任務
绫波mission_complete.mp3|之前完成的任务，奖励送来了……|この前の任務、報酬が来たのです……|台词|デフォルトボイス一覧|任务完成|任務完了
绫波mail.mp3|有新的……邮件……|新しい……メールです|台词|デフォルトボイス一覧|邮件提醒|メール
绫波home.mp3|指挥官在战场上和我有点像，稍微……有点帅|戦場での指揮官はちょっと綾波と似てるです。。ちょっと……かっこいいです|台词|デフォルトボイス一覧|回港|母港帰還
绫波expedition.mp3|指挥官，有委托完成了|……指揮官、委託が完了したのです|台词|デフォルトボイス一覧|委托完成|委託完了
绫波upgrade.mp3|力量涌出来了……|力が溢れてきたのです|台词|デフォルトボイス一覧|强化成功|強化成功
绫波battle.mp3|想去……所罗门吗？|ソロモンに……行きたい？|台词|デフォルトボイス一覧|旗舰开战|戦闘開始
绫波mvp.mp3|第一名吗？虽然并不是很懂那是什么意思，不过，谢谢|一位、ですか？よくわからないですけど、でも、ありがとです|台词|デフォルトボイス一覧|胜利MVP|勝利
绫波lose.mp3|没关系……我自己很快就会好起来的|大丈夫です……自分でよくなるです…|台词|デフォルトボイス一覧|失败|失敗
绫波skill.mp3|“鬼神”之力，好好感受吧！|「鬼神」の力、味わうがいい…！|台词|デフォルトボイス一覧|技能|スキル
绫波hp.mp3|我不要……一个人……|ひとりが…嫌…|台词|デフォルトボイス一覧|HP告急|損傷大
Cv-30105_link1.mp3|绫波，会保护大家的|綾波、みんなを守るのです|台词|デフォルトボイス一覧|彩蛋（拉菲，标枪，Z23的任意两艘）|ラフィー、ジャベリン、Z23の内2人と編成
Cv-30105_link2.mp3|拉菲…房间里的氧气可乐又不够了…|ラフィー、酸素コーラ、また足りなくなったのです…|台词|デフォルトボイス一覧|彩蛋（拉菲）|ラフィーと編成
Cv-30105_link3.mp3|长岛…战场上不要分神|ロング・アイランド…戦場ではよそ見しないのです|台词|デフォルトボイス一覧|彩蛋（长岛）|ロング・アイランドと編成
Cv-30105_link4.mp3|航空支援就靠你了|航空支援、任せるのです|台词|デフォルトボイス一覧|彩蛋（祥凤）|祥鳳と編成
绫波profile.mp3|吹雪级驱逐舰的改良舰绫波……的说，对我来说，战斗没什么好害怕的，所以虽然只是驱逐舰，但是无论什么敌人我都敢一战……|None|台词|デフォルトボイス一覧|简介|None
绫波feeling1.mp3|……不是很想靠近指挥官……|……指揮官にはあまり近づきたくないのです|台词|デフォルトボイス一覧|好感度-失望|失望
绫波feeling2.mp3|对指挥官的看法？绫波不是很明白……|指揮官のイメージですか？綾波わからないのです……|台词|デフォルトボイス一覧|好感度-陌生|知り合い
绫波feeling3.mp3|指挥官……你一直说绫波的耳朵可爱，但是为什么不摸摸看呢？|指揮官……綾波のミミがかわいいとずっと言っているようですが、なぜ触らないのです？|台词|デフォルトボイス一覧|好感度-友好|友好
绫波feeling4.mp3|如果说有什么担心的事情……大概就是不在指挥官身边吧……|心配することと言えば……指揮官がそばにいないこと、ですね……|台词|デフォルトボイス一覧|好感度-喜欢|好き
绫波feeling5.mp3|我不讨厌战斗，也不喜欢，只是普通地战斗而已……现在的话，为了指挥官……感觉，会变得更强|戦闘は嫌いではないけど好きじゃないです。ただ普通に戦ってただけ……だけど、今は指揮官のためなら……もう少し、強くなれる気がするのです|台词|デフォルトボイス一覧|好感度-爱|ラブ
绫波propose.mp3|放心吧，这次我无论如何都会活下来，然后回到指挥官面前……因为……我想见指挥官……|安心して、今度こそどんなことがあっても生き延びて指揮官のもとに帰るのです……だって、指揮官にはまた会いたいんですもの……|台词|デフォルトボイス一覧|誓约|ケッコン
Cv-30105_get_9.mp3|绫波改造…结束。变强了一些…但是…指挥官摸摸我的头可以吗…我有点想…撒娇…|綾波、改造完了……です。強くなったのです、けど…指揮官、綾波をナデナデしてもらっていい…ですか？少しだけ、甘えたい気分……です|改造|改造後ボイス|获得|入手時
Cv-30105_main_1_9.mp3|和指挥官在一起 ，感觉就能有更多干劲——|指揮官と一緒なら、やる気ももっと出る、です|改造|改造後ボイス|主界面1|メイン1
Cv-30105_main_2_9.mp3|和大家在一起很开心，所以我……想和大家在一起|みんなと一緒にいるのは楽しいですから、綾波も…みんなともっと一緒にいたいです|改造|改造後ボイス|主界面2|メイン2
Cv-30105_main_3_9.mp3|指挥官不理我的话，会有点……伤心|指揮官が綾波をかまってくれないと、少しだけ悲しい…です|改造|改造後ボイス|主界面3|メイン3
Cv-30105_touch_1_9.mp3|指挥官的手，很温暖……|指揮官の手、温かいです…|改造|改造後ボイス|触摸|タッチ1
Cv-30105_warcry_9.mp3|没关系的，指挥官……相信我——|大丈夫です、指揮官…綾波を信じて――|改造|改造後ボイス|旗舰开战|戦闘開始
Cv-30105_mvp_9.mp3|如果是为了大家，我愿意化身为“鬼神”……|みんなのためなら、「鬼神」になってもいい……です|改造|改造後ボイス|胜利MVP|勝利
Cv-30105_get_8.mp3|还是绫波...的说。这样的服装，还不太习惯...指挥官，觉得合适吗？|綾波……です。この衣装、まだ慣れないですけど…指揮官、綾波に似合っているのですか？|【誓约】鬼神之华裳|ケッコン後(鬼神華裳)ボイス|获得|入手時
Cv-30105_login_8.mp3|无论去哪里，我都会跟上你的脚步的...一起出发吧，指挥官|どこに行っても、綾波はついて行くのです。…指揮官、一緒に出発です|【誓约】鬼神之华裳|ケッコン後(鬼神華裳)ボイス|登录|ログイン
Cv-30105_detail_8.mp3|现在的话，能感觉到自己不是孤单一人...因为指挥官一直在这里|今は、綾波がひとりじゃないってわかるのです…だって指揮官がここにいるんですもの|【誓约】鬼神之华裳|ケッコン後(鬼神華裳)ボイス|查看详情|詳細確認
