prefix|scenario|dialogue|filename|url
台词|登录欢迎|碧蓝航线！|Cv-30105_extra.mp3|https://img.moegirl.org.cn/common/5/59/Cv-30105_extra.mp3
台词|获得|绫波……的说，他们喜欢叫我“鬼神”就是了。请多指教|绫波unlock.mp3|https://img.moegirl.org.cn/common/0/0b/%E7%BB%AB%E6%B3%A2unlock.mp3
台词|登录|指挥官，吃了吗？我这里还有点心|绫波login.mp3|https://img.moegirl.org.cn/common/3/3a/%E7%BB%AB%E6%B3%A2login.mp3
台词|查看详情|这次有好好的检查了通讯设备，不会再给您添麻烦了……|绫波detail.mp3|https://img.moegirl.org.cn/common/a/a0/%E7%BB%AB%E6%B3%A2detail.mp3
台词|主界面|绫波的耳朵……比较可爱吗？不太懂……指挥官开心就好|绫波main1.mp3|https://img.moegirl.org.cn/common/4/42/%E7%BB%AB%E6%B3%A2main1.mp3
台词|主界面|最近时常会做和大家走散的噩梦，一定是我做的还不够好……|绫波main2.mp3|https://img.moegirl.org.cn/common/0/0b/%E7%BB%AB%E6%B3%A2main2.mp3
台词|主界面|指挥官？…不，没事。我只是确认一下你是不是还在|绫波main3.mp3|https://img.moegirl.org.cn/common/7/7a/%E7%BB%AB%E6%B3%A2main3.mp3
台词|触摸|唔——有点痒……|绫波touch1.mp3|https://img.moegirl.org.cn/common/8/89/%E7%BB%AB%E6%B3%A2touch1.mp3
台词|摸头|虽然不太明白这样有什么意义……但是有点高兴（蹭蹭）|绫波touch_head.mp3|https://img.moegirl.org.cn/common/b/b3/%E7%BB%AB%E6%B3%A2touch_head.mp3
台词|特殊触摸|指挥官，请不要……乱碰，感觉……有点奇怪|绫波touch2.mp3|https://img.moegirl.org.cn/common/2/21/%E7%BB%AB%E6%B3%A2touch2.mp3
台词|任务提醒|指挥官的新任务下达了|绫波mission.mp3|https://img.moegirl.org.cn/common/f/f9/%E7%BB%AB%E6%B3%A2mission.mp3
台词|任务完成|之前完成的任务，奖励送来了……|绫波mission_complete.mp3|https://img.moegirl.org.cn/common/b/b9/%E7%BB%AB%E6%B3%A2mission_complete.mp3
台词|邮件提醒|有新的……邮件……|绫波mail.mp3|https://img.moegirl.org.cn/common/d/da/%E7%BB%AB%E6%B3%A2mail.mp3
台词|回港|指挥官在战场上和我有点像，稍微……有点帅|绫波home.mp3|https://img.moegirl.org.cn/common/3/34/%E7%BB%AB%E6%B3%A2home.mp3
台词|委托完成|指挥官，有委托完成了|绫波expedition.mp3|https://img.moegirl.org.cn/common/5/58/%E7%BB%AB%E6%B3%A2expedition.mp3
台词|强化成功|力量涌出来了……|绫波upgrade.mp3|https://img.moegirl.org.cn/common/4/4a/%E7%BB%AB%E6%B3%A2upgrade.mp3
台词|旗舰开战|想去……所罗门吗？|绫波battle.mp3|https://img.moegirl.org.cn/common/9/9d/%E7%BB%AB%E6%B3%A2battle.mp3
台词|胜利MVP|第一名吗？虽然并不是很懂那是什么意思，不过，谢谢|绫波mvp.mp3|https://img.moegirl.org.cn/common/4/4a/%E7%BB%AB%E6%B3%A2mvp.mp3
台词|失败|没关系……我自己很快就会好起来的|绫波lose.mp3|https://img.moegirl.org.cn/common/4/46/%E7%BB%AB%E6%B3%A2lose.mp3
台词|技能|“鬼神”之力，好好感受吧！|绫波skill.mp3|https://img.moegirl.org.cn/common/7/78/%E7%BB%AB%E6%B3%A2skill.mp3
台词|HP告急|我不要……一个人……|绫波hp.mp3|https://img.moegirl.org.cn/common/9/9b/%E7%BB%AB%E6%B3%A2hp.mp3
台词|彩蛋（拉菲，标枪，Z23的任意两艘）|绫波，会保护大家的|Cv-30105_link1.mp3|https://img.moegirl.org.cn/common/a/a3/Cv-30105_link1.mp3
台词|彩蛋（拉菲）|拉菲…房间里的氧气可乐又不够了…|Cv-30105_link2.mp3|https://img.moegirl.org.cn/common/3/35/Cv-30105_link2.mp3
台词|彩蛋（长岛）|长岛…战场上不要分神|Cv-30105_link3.mp3|https://img.moegirl.org.cn/common/0/0b/Cv-30105_link3.mp3
台词|彩蛋（祥凤）|航空支援就靠你了|Cv-30105_link4.mp3|https://img.moegirl.org.cn/common/d/d4/Cv-30105_link4.mp3
台词|简介|吹雪级驱逐舰的改良舰绫波……的说，对我来说，战斗没什么好害怕的，所以虽然只是驱逐舰，但是无论什么敌人我都敢一战……|绫波profile.mp3|https://img.moegirl.org.cn/common/b/b9/%E7%BB%AB%E6%B3%A2profile.mp3
台词|好感度-失望|……不是很想靠近指挥官……|绫波feeling1.mp3|https://img.moegirl.org.cn/common/d/d7/%E7%BB%AB%E6%B3%A2feeling1.mp3
台词|好感度-陌生|对指挥官的看法？绫波不是很明白……|绫波feeling2.mp3|https://img.moegirl.org.cn/common/f/fb/%E7%BB%AB%E6%B3%A2feeling2.mp3
台词|好感度-友好|指挥官……你一直说绫波的耳朵可爱，但是为什么不摸摸看呢？|绫波feeling3.mp3|https://img.moegirl.org.cn/common/9/90/%E7%BB%AB%E6%B3%A2feeling3.mp3
台词|好感度-喜欢|如果说有什么担心的事情……大概就是不在指挥官身边吧……|绫波feeling4.mp3|https://img.moegirl.org.cn/common/a/ac/%E7%BB%AB%E6%B3%A2feeling4.mp3
台词|好感度-爱|我不讨厌战斗，也不喜欢，只是普通地战斗而已……现在的话，为了指挥官……感觉，会变得更强|绫波feeling5.mp3|https://img.moegirl.org.cn/common/2/24/%E7%BB%AB%E6%B3%A2feeling5.mp3
台词|誓约|放心吧，这次我无论如何都会活下来，然后回到指挥官面前……因为……我想见指挥官……|绫波propose.mp3|https://img.moegirl.org.cn/common/3/33/%E7%BB%AB%E6%B3%A2propose.mp3
改造|获得|绫波改造…结束。变强了一些…但是…指挥官摸摸我的头可以吗…我有点想…撒娇…|Cv-30105_get_9.mp3|https://img.moegirl.org.cn/common/c/cc/Cv-30105_get_9.mp3
