filename|dialogue_jp|dialogue_jp_norm|prefix|prefix_jp|scenario|scenario_jp|dialogue
Cv-30105_extra.mp3|None|None|台词|ボイス|登录欢迎||碧蓝航线！
绫波unlock.mp3|綾波……です。「鬼神」とよく言われるのです。よろしくです|綾波……です。「鬼神」とよく言われるのです。よろしくです|台词|ボイス|获得|入手時|绫波……的说，他们喜欢叫我“鬼神”就是了。请多指教
绫波login.mp3|指揮官は食べました？おやつ、です|指揮官は食べました？おやつ、です|台词|ボイス|登录|ログイン|指挥官，吃了吗？我这里还有点心
绫波detail.mp3|通信設備、今度はちゃんと整備したのです。迷惑をかけないのです……|通信設備、今度はちゃんと整備したのです。迷惑をかけないのです……|台词|ボイス|查看详情|詳細確認|这次有好好的检查了通讯设备，不会再给您添麻烦了……
绫波main1.mp3|綾波のミミ……可愛いですか？…わからないです。指揮官が楽しんでいればいいです|綾波のミミ……可愛いですか？…わからないです。指揮官が楽しんでいればいいです|台词|ボイス|主界面1|メイン1|绫波的耳朵……比较可爱吗？不太懂……指挥官开心就好
绫波main2.mp3|最近みんなとはぐれる夢をよく見るのです。きっと、まだ十分うまく頑張っていないからです……|最近みんなとはぐれる夢をよく見るのです。きっと、まだ十分うまく頑張っていないからです……|台词|ボイス|主界面2|メイン2|最近时常会做和大家走散的噩梦，一定是我做的还不够好……
绫波main3.mp3|指揮官？…いいえ、大丈夫です。まだいるか確認するだけです|指揮官？…いいえ、大丈夫です。まだいるか確認するだけです|台词|ボイス|主界面3|メイン3|指挥官？…不，没事。我只是确认一下你是不是还在
绫波touch1.mp3|うぅーーちょっとくすぐったいです……|うぅーーちょっとくすぐったいです……|台词|ボイス|触摸|タッチ1|唔——有点痒……
绫波touch_head.mp3|よくわからないですけど……ちょっと嬉しい、です|よくわからないですけど……ちょっと嬉しい、です|台词|ボイス|摸头|タッチ3|虽然不太明白这样有什么意义……但是有点高兴（蹭蹭）
绫波touch2.mp3|指揮官、あまり触らない……です。変な感じです…|指揮官、あまり触らない……です。変な感じです…|台词|ボイス|特殊触摸|タッチ2|指挥官，请不要……乱碰，感觉……有点奇怪
绫波mission.mp3|指揮官、新しい任務が通達されたのです|指揮官、新しい任務が通達されたのです|台词|ボイス|任务提醒|任務|指挥官的新任务下达了
绫波mission_complete.mp3|この前の任務、報酬が来たのです……|この前の任務、報酬が来たのです……|台词|ボイス|任务完成|任務完了|之前完成的任务，奖励送来了……
绫波mail.mp3|新しい……メールです|新しい……メールです|台词|ボイス|邮件提醒|メール|有新的……邮件……
绫波home.mp3|戦場での指揮官はちょっと綾波と似てるです。。ちょっと……かっこいいです|戦場での指揮官はちょっと綾波と似てるです。。ちょっと……かっこいいです|台词|ボイス|回港|母港帰還|指挥官在战场上和我有点像，稍微……有点帅
绫波expedition.mp3|……指揮官、委託が完了したのです|……指揮官、委託が完了したのです|台词|ボイス|委托完成|委託完了|指挥官，有委托完成了
绫波upgrade.mp3|力が溢れてきたのです|力が溢れてきたのです|台词|ボイス|强化成功|強化成功|力量涌出来了……
绫波battle.mp3|ソロモンに……行きたい？|ソロモンに……行きたい？|台词|ボイス|旗舰开战|戦闘開始|想去……所罗门吗？
绫波mvp.mp3|一位、ですか？よくわからないですけど、でも、ありがとです|一位、ですか？よくわからないですけど、でも、ありがとです|台词|ボイス|胜利MVP|勝利|第一名吗？虽然并不是很懂那是什么意思，不过，谢谢
绫波lose.mp3|大丈夫です……自分でよくなるです…|大丈夫です……自分でよくなるです…|台词|ボイス|失败|失敗|没关系……我自己很快就会好起来的
绫波skill.mp3|「鬼神」の力、味わうがいい…！|「鬼神」の力、味わうがいい…！|台词|ボイス|技能|スキル|“鬼神”之力，好好感受吧！
绫波hp.mp3|ひとりが…嫌…|ひとりが…嫌…|台词|ボイス|HP告急|損傷大|我不要……一个人……
