prefix|scenario|dialogue
ボイス|入手時|綾波……です。「鬼神」とよく言われるのです。よろしくです
ボイス|ログイン|指揮官は食べました？おやつ、です
ボイス|詳細確認|通信設備、今度はちゃんと整備したのです。迷惑をかけないのです……
ボイス|メイン1|綾波のミミ……可愛いですか？…わからないです。指揮官が楽しんでいればいいです
ボイス|メイン2|最近みんなとはぐれる夢をよく見るのです。きっと、まだ十分うまく頑張っていないからです……
ボイス|メイン3|指揮官？…いいえ、大丈夫です。まだいるか確認するだけです
ボイス|タッチ1|うぅーーちょっとくすぐったいです……
ボイス|タッチ2|指揮官、あまり触らない……です。変な感じです…
ボイス|タッチ3|よくわからないですけど……ちょっと嬉しい、です
ボイス|任務|指揮官、新しい任務が通達されたのです
ボイス|任務完了|この前の任務、報酬が来たのです……
ボイス|メール|新しい……メールです
ボイス|母港帰還|戦場での指揮官はちょっと綾波と似てるです。。ちょっと……かっこいいです
ボイス|委託完了|……指揮官、委託が完了したのです
ボイス|強化成功|力が溢れてきたのです
ボイス|戦闘開始|ソロモンに……行きたい？
ボイス|勝利|一位、ですか？よくわからないですけど、でも、ありがとです
ボイス|失敗|大丈夫です……自分でよくなるです…
ボイス|スキル|「鬼神」の力、味わうがいい…！
ボイス|損傷大|ひとりが…嫌…
ボイス|失望|……指揮官にはあまり近づきたくないのです
ボイス|知り合い|指揮官のイメージですか？綾波わからないのです……
ボイス|友好|指揮官……綾波のミミがかわいいとずっと言っているようですが、なぜ触らないのです？
ボイス|好き|心配することと言えば……指揮官がそばにいないこと、ですね……
ボイス|ラブ|戦闘は嫌いではないけど好きじゃないです。ただ普通に戦ってただけ……だけど、今は指揮官のためなら……もう少し、強くなれる気がするのです
ボイス|ケッコン|安心して、今度こそどんなことがあっても生き延びて指揮官のもとに帰るのです……だって、指揮官にはまた会いたいんですもの……
ボイス|ラフィーと編成|ラフィー、酸素コーラ、また足りなくなったのです…
ボイス|ロング・アイランドと編成|ロング・アイランド…戦場ではよそ見しないのです
ボイス|祥鳳と編成|航空支援、任せるのです
ボイス|ラフィー、ジャベリン、Z23の内2人と編成|綾波、みんなを守るのです
ケッコン後(鬼神華裳)ボイス|入手時|綾波……です。この衣装、まだ慣れないですけど…指揮官、綾波に似合っているのですか？
ケッコン後(鬼神華裳)ボイス|ログイン|どこに行っても、綾波はついて行くのです。…指揮官、一緒に出発です
ケッコン後(鬼神華裳)ボイス|詳細確認|今は、綾波がひとりじゃないってわかるのです…だって指揮官がここにいるんですもの
ケッコン後(鬼神華裳)ボイス|メイン1|この服の意味、よくわからないです。…でも指揮官が好きなら、ずっと着ていてもいいと思うです
ケッコン後(鬼神華裳)ボイス|メイン2|みんな、盛り上がっていたです。綾波はじっと見られていたのですけど…まだ、ちょっと慣れない、です
ケッコン後(鬼神華裳)ボイス|タッチ1|指揮官と寄り添い合っている感触、気持ちよくて好きです
ケッコン後(鬼神華裳)ボイス|タッチ2|やっぱり、ちょっとだけ…変な感じ、です……ううん、指揮官が好きなら綾波、タイジョウブです
ケッコン後(鬼神華裳)ボイス|母港帰還|指揮官…肩もみもみでもどうですか？
ケッコン後(鬼神華裳)ボイス|勝利|指揮官さえいれば、ぜったいに負けないです
ケッコン後(鬼神華裳)ボイス|ラブ|みんなと一緒にいるのは嬉しいです。けど…綾波、指揮官と二人っきりでもっといたいです
着せ替え後(宵闇待ちの魔女)ボイス|入手時|ハロウィンに参加するにはこういう服を着なければならない、と聞いたのです。指揮官…今の綾波はカワイイですか？
着せ替え後(宵闇待ちの魔女)ボイス|メイン1|これは……お菓子ですか？ありがとです。食べるです
